taskId,taskName,description,timeEstimate,frequency,importance,season
1,Check Carbon Monoxide Alarms,Check Carbon Monoxide Alarms,15,MONTHLY,MEDIUM,NONE
2,Check Fire Extinguishers And Fire Blankets,Check Fire Extinguishers And Fire Blankets,15,MONTHLY,LOW,NONE
3,Check Smoke Alarms,Press the test button on each smoke alarm to ensure it's functioning correctly. Replace batteries if necessary.,15,MONTHLY,MEDIUM,NONE
4,Check Other Alarms,Check Other Alarms,10,MONTHLY,LOW,NONE
5,Clean Dryer,"* Clean the lint trap after each load.
* Periodically inspect and clean the dryer vent to prevent lint buildup, which can be a fire hazard.
* If you notice excessive lint buildup, consider calling a professional to clean the vent.",15,MONTHLY,MEDIUM,NONE
6,Clean Washing Machine,"* Run an empty hot water cycle with a cleaning solution designed for washing machines.
* Wipe down the rubber gasket and detergent dispenser.
* Leave the door open after use to prevent mold and mildew growth.",45,MONTHLY,MEDIUM,NONE
7,Clean Fridge Inside,"* Remove all food and shelves.
* Wipe down the interior with a mild detergent solution.
* Clean the shelves and drawers.
* Replace shelves and food.",45,MONTHLY,HIGH,NONE
8,Defrost And Clean Freezer,"* Remove all food and place it in a cooler.
* Allow the freezer to defrost completely.
* Wipe down the interior with a mild detergent solution.
* Remove any ice buildup.
* Replace food.",60,MONTHLY,MEDIUM,NONE
9,Clean Microwave,"* Mix a solution of water and white vinegar.
* Place a bowl of the solution in the microwave and heat it for a few minutes.
* Wipe down the interior with a cloth.
* Clean the turntable and door seal.",15,MONTHLY,HIGH,NONE
10,Clean Oven,"* Uuse a commercial oven cleaner or create your own using baking soda and water.
* Apply the cleaner to the oven interior and let it sit for the recommended time.
* Scrub the interior with a sponge or brush.
* Wipe down the interior with a clean cloth.",60,MONTHLY,MEDIUM,NONE
11,Clean Small Appliances,"* Unplug appliances, wipe down exteriors and interiors with a damp cloth, and clean any removable parts.",30,MONTHLY,MEDIUM,NONE
12,Clean Inside of Kitchen Cabinet,"* Remove contents 
* Wipe down shelves and sides with a damp cloth
* Replace items.",60,MONTHLY,MEDIUM,NONE
13,Clean Inside of Bathroom Cabinet,"* Remove contents 
* Wipe down shelves and sides with a damp cloth
* Check for mold and mildew growth.
* Replace items.",30,QUARTERLY,MEDIUM,NONE
14,"Run Water in The Baths, Showers And Toilets Not used regularly","Run Water in The Baths, Showers And Toilets Not used regularly",15,MONTHLY,LOW,NONE
15,Unclog Sinks and Drain Holes,"Use a plunger or drain snake to remove clogs. For stubborn clogs, consider using a commercial drain cleaner.",20,MONTHLY,MEDIUM,NONE
16,Clean Light Fixtures,"* Turn off power
* Remove fixtures
* Clean glass and bulbs
* Reinstall.",30,MONTHLY,MEDIUM,NONE
